REGION,EMISSION,YEAR,VALUE
REGION1,ATHY,2015,147.668436
REGION1,ATHY,2016,149.25942
REGION1,ATHY,2017,150.850404
REGION1,ATHY,2018,152.441388
REGION1,ATHY,2019,154.032372
REGION1,ATHY,2020,155.623356
REGION1,ATHY,2021,156.5695728
REGION1,ATHY,2022,157.5157896
REGION1,ATHY,2023,158.4620064
REGION1,ATHY,2024,159.4082232
REGION1,ATHY,2025,160.35444
REGION1,ATHY,2026,160.3711872
REGION1,ATHY,2027,160.3879344
REGION1,ATHY,2028,160.4046816
REGION1,ATHY,2029,160.4214288
REGION1,ATHY,2030,160.438176
REGION1,ATHY,2031,160.7228784
REGION1,ATHY,2032,161.0075808
REGION1,ATHY,2033,161.2922832
REGION1,ATHY,2034,161.5769856
REGION1,ATHY,2035,161.861688
REGION1,ATHY,2036,161.9621712
REGION1,ATHY,2037,162.0626544
REGION1,ATHY,2038,162.1631376
REGION1,ATHY,2039,162.2636208
REGION1,ATHY,2040,162.364104
REGION1,ATHY,2041,162.3724776
REGION1,ATHY,2042,162.3808512
REGION1,ATHY,2043,162.3892248
REGION1,ATHY,2044,162.3975984
REGION1,ATHY,2045,162.405972
REGION1,ATHY,2046,162.8916408
REGION1,ATHY,2047,163.3773096
REGION1,ATHY,2048,163.8629784
REGION1,ATHY,2049,164.3486
REGION1,ATHY,2050,164.834316
REGION1,ATHY,2051,164.9991503
REGION1,ATHY,2052,165.1641495
REGION1,ATHY,2053,165.3293136
REGION1,ATHY,2054,165.4946429
REGION1,ATHY,2055,165.6601376
REGION1,ATHY,2056,165.8257977
REGION1,ATHY,2057,165.9916235
REGION1,ATHY,2058,166.1576151
REGION1,ATHY,2059,166.3237727
REGION1,ATHY,2060,166.4900965
REGION1,ATSO,2015,3.1356
REGION1,ATSO,2016,3.35376
REGION1,ATSO,2017,3.57192
REGION1,ATSO,2018,3.79008
REGION1,ATSO,2019,4.00824
REGION1,ATSO,2020,4.2264
REGION1,ATSO,2021,5.63112
REGION1,ATSO,2022,7.03584
REGION1,ATSO,2023,8.44056
REGION1,ATSO,2024,9.84528
REGION1,ATSO,2025,11.25
REGION1,ATSO,2026,11.38464
REGION1,ATSO,2027,11.51928
REGION1,ATSO,2028,11.65392
REGION1,ATSO,2029,11.78856
REGION1,ATSO,2030,11.9232
REGION1,ATSO,2031,11.99664
REGION1,ATSO,2032,12.07008
REGION1,ATSO,2033,12.14352
REGION1,ATSO,2034,12.21696
REGION1,ATSO,2035,12.2904
REGION1,ATSO,2036,12.35376
REGION1,ATSO,2037,12.41712
REGION1,ATSO,2038,12.48048
REGION1,ATSO,2039,12.54384
REGION1,ATSO,2040,12.6072
REGION1,ATSO,2041,12.88656
REGION1,ATSO,2042,13.16592
REGION1,ATSO,2043,13.44528
REGION1,ATSO,2044,13.72464
REGION1,ATSO,2045,14.004
REGION1,ATSO,2046,14.8464
REGION1,ATSO,2047,15.6888
REGION1,ATSO,2048,16.5312
REGION1,ATSO,2049,17.3736
REGION1,ATSO,2050,18.216
REGION1,ATSO,2051,18.94464
REGION1,ATSO,2052,19.7024256
REGION1,ATSO,2053,20.49052262
REGION1,ATSO,2054,21.31014353
REGION1,ATSO,2055,22.16254927
REGION1,ATSO,2056,22.60580026
REGION1,ATSO,2057,23.05791626
REGION1,ATSO,2058,23.51907459
REGION1,ATSO,2059,23.98945608
REGION1,ATSO,2060,24.4692452
REGION1,ATWI,2015,14.23512
REGION1,ATWI,2016,14.5868112
REGION1,ATWI,2017,14.9385024
REGION1,ATWI,2018,15.2901936
REGION1,ATWI,2019,15.6418848
REGION1,ATWI,2020,15.993576
REGION1,ATWI,2021,18.00324
REGION1,ATWI,2022,20.012904
REGION1,ATWI,2023,22.022568
REGION1,ATWI,2024,24.032232
REGION1,ATWI,2025,26.041896
REGION1,ATWI,2026,28.0683072
REGION1,ATWI,2027,30.0947184
REGION1,ATWI,2028,32.1211296
REGION1,ATWI,2029,34.1475408
REGION1,ATWI,2030,36.173952
REGION1,ATWI,2031,36.257688
REGION1,ATWI,2032,36.341424
REGION1,ATWI,2033,36.42516
REGION1,ATWI,2034,36.508896
REGION1,ATWI,2035,36.592632
REGION1,ATWI,2036,37.136916
REGION1,ATWI,2037,37.6812
REGION1,ATWI,2038,38.225484
REGION1,ATWI,2039,38.769768
REGION1,ATWI,2040,39.314052
REGION1,ATWI,2041,41.23998
REGION1,ATWI,2042,43.165908
REGION1,ATWI,2043,45.091836
REGION1,ATWI,2044,47.017764
REGION1,ATWI,2045,48.943692
REGION1,ATWI,2046,50.2499736
REGION1,ATWI,2047,51.5562552
REGION1,ATWI,2048,52.8625368
REGION1,ATWI,2049,54.1688
REGION1,ATWI,2050,55.4751
REGION1,ATWI,2051,56.584602
REGION1,ATWI,2052,57.71629404
REGION1,ATWI,2053,58.87061992
REGION1,ATWI,2054,60.04803232
REGION1,ATWI,2055,61.24899297
REGION1,ATWI,2056,62.47397282
REGION1,ATWI,2057,63.72345228
REGION1,ATWI,2058,64.99792133
REGION1,ATWI,2059,66.29787975
REGION1,ATWI,2060,67.62383735
REGION1,BEHO,2015,1.297908
REGION1,BEHO,2016,1.3062816
REGION1,BEHO,2017,1.3146552
