REGION,TECHNOLOGY,YEAR,VALUE
REGION1,FINUG3PN3,2015,0.0
REGION1,FINUG3PN3,2016,0.0
REGION1,FINUG3PN3,2017,0.0
REGION1,FINUG3PN3,2018,1.72
REGION1,FINUG3PN3,2019,0.0
REGION1,FINUG3PN3,2020,0.0
REGION1,FINUG3PN3,2021,0.0
REGION1,FINUG3PN3,2022,0.0
REGION1,FINUG3PN3,2023,0.0
REGION1,FINUG3PN3,2024,1.2
REGION1,FINUG3PN3,2025,0.0
REGION1,FINUG3PN3,2026,0.0
REGION1,FINUG3PN3,2027,0.0
REGION1,FINUG3PN3,2028,0.0
REGION1,FINUG3PN3,2029,0.0
REGION1,FINUG3PN3,2030,0.0
REGION1,FINUG3PN3,2031,0.0
REGION1,FINUG3PN3,2032,0.0
REGION1,FINUG3PN3,2033,0.0
REGION1,FINUG3PN3,2034,0.0
REGION1,FINUG3PN3,2035,0.0
REGION1,FINUG3PN3,2036,0.0
REGION1,FINUG3PN3,2037,0.0
REGION1,FINUG3PN3,2038,0.0
REGION1,FINUG3PN3,2039,0.0
REGION1,FINUG3PN3,2040,0.0
REGION1,FINUG3PN3,2041,0.0
REGION1,FINUG3PN3,2042,0.0
REGION1,FINUG3PN3,2043,0.0
REGION1,FINUG3PN3,2044,0.0
REGION1,FINUG3PN3,2045,0.0
REGION1,FINUG3PN3,2046,0.0
REGION1,FINUG3PN3,2047,0.0
REGION1,FINUG3PN3,2048,0.0
REGION1,FINUG3PN3,2049,0.0
REGION1,FINUG3PN3,2050,0.0
REGION1,FINUG3PN3,2051,0.0
REGION1,FINUG3PN3,2052,0.0
REGION1,FINUG3PN3,2053,0.0
REGION1,FINUG3PN3,2054,0.0
REGION1,FINUG3PN3,2055,0.0
REGION1,FINUG3PN3,2056,0.0
REGION1,FINUG3PN3,2057,0.0
REGION1,FINUG3PN3,2058,0.0
REGION1,FINUG3PN3,2059,0.0
REGION1,FINUG3PN3,2060,0.0
REGION1,MTNGCCPH2,2015,0.0
REGION1,MTNGCCPH2,2016,0.0
REGION1,MTNGCCPH2,2017,0.205
REGION1,MTNGCCPH2,2018,0.0
REGION1,MTNGCCPH2,2019,0.0
REGION1,MTNGCCPH2,2020,0.0
REGION1,MTNGCCPH2,2021,0.0
REGION1,MTNGCCPH2,2022,0.0
REGION1,MTNGCCPH2,2023,0.0
REGION1,MTNGCCPH2,2024,0.0
REGION1,MTNGCCPH2,2025,0.0
REGION1,MTNGCCPH2,2026,0.0
REGION1,MTNGCCPH2,2027,0.0
REGION1,MTNGCCPH2,2028,0.0
REGION1,MTNGCCPH2,2029,0.0
REGION1,MTNGCCPH2,2030,0.0
REGION1,MTNGCCPH2,2031,0.0
REGION1,MTNGCCPH2,2032,0.0
REGION1,MTNGCCPH2,2033,0.0
REGION1,MTNGCCPH2,2034,0.0
REGION1,MTNGCCPH2,2035,0.0
REGION1,MTNGCCPH2,2036,0.0
REGION1,MTNGCCPH2,2037,0.0
REGION1,MTNGCCPH2,2038,0.0
REGION1,MTNGCCPH2,2039,0.0
REGION1,MTNGCCPH2,2040,0.0
REGION1,MTNGCCPH2,2041,0.0
REGION1,MTNGCCPH2,2042,0.0
REGION1,MTNGCCPH2,2043,0.0
REGION1,MTNGCCPH2,2044,0.0
REGION1,MTNGCCPH2,2045,0.0
REGION1,MTNGCCPH2,2046,0.0
REGION1,MTNGCCPH2,2047,0.0
REGION1,MTNGCCPH2,2048,0.0
REGION1,MTNGCCPH2,2049,0.0
REGION1,MTNGCCPH2,2050,0.0
REGION1,MTNGCCPH2,2051,0.0
REGION1,MTNGCCPH2,2052,0.0
REGION1,MTNGCCPH2,2053,0.0
REGION1,MTNGCCPH2,2054,0.0
REGION1,MTNGCCPH2,2055,0.0
REGION1,MTNGCCPH2,2056,0.0
REGION1,MTNGCCPH2,2057,0.0
REGION1,MTNGCCPH2,2058,0.0
REGION1,MTNGCCPH2,2059,0.0
REGION1,MTNGCCPH2,2060,0.0
